Analytes	EntrezGeneSymbol
X19141.22	DAP
X19142.39	DNMT3L
X19143.38	CYB5R2
X19144.9	TCF4
X19145.4	MREG
X19147.6	LGALS13
X19148.58	TIMM8A
X19150.20	PRPSAP2
X19152.4	PPP1R2
X19153.53	MPPED2
X19154.41	SERPINE2
X19158.1	PCLAF
X19159.9	POLD4
X19161.1	USP15
X19163.26	LRRC59
X19166.15	RPS19
X19168.71	PSTPIP1
X19169.88	FIBP
X19170.25	POLE3
X19173.5	ZFAND1
X19174.141	GOLGA7
X19175.18	MARCKSL1
X19176.27	CYRIB
X19177.7	MOB1B
X19180.38	GULP1
X19183.164	RPL12
X19187.21	STAMBP
X19188.21	NAP1L4
X19189.2	USP14
X19193.18	VBP1
X19194.9	DTD1
X19195.85	RPS5
X19196.73	HOPX
X19197.95	ACAT1
X19199.3	POLR2J
X19200.16	NDUFA5
X19202.10	BTK
X19206.20	NUDT1
X19207.119	ADK
X19208.8	ACVR2A
X19209.6	NFKBIA
X19212.4	DMBT1
X19213.1	SPINK4
X19215.7	NDRG1
X19219.71	NUTF2
X19222.124	RAB5B
X19223.6	RAB1A
X19225.11	BLNK
X19227.18	BATF
X19228.11	BAG2
X19229.92	HOMER1
X19230.12	GSTT1
X19231.22	PTP4A3
X19233.75	ATOX1
X19236.24	SUB1
X19237.17	DDT
X19238.12	GLUL
X19239.5	ARF1
X19240.265	PDAP1
X19241.31	RBP5
X19242.21	PFDN1
X19243.2	PFDN2
X19247.1	UBE2D1
X19249.18	KARS1
X19250.50	MYCBP
X19251.56	SRGN
X19252.67	PSMB2
X19253.82	RAB2B
X19254.125	GMPR
X19255.124	NXT2
X19257.11	CLTA
X19258.24	GCDH
X19259.176	EIF2S1
X19260.4	GIPC1
X19261.12	SDCBP2
X19262.219	ACADVL
X19263.147	EIF4E
X19264.6	RPA2
X19265.9	TCP1
X19266.35	G3BP1
X19267.14	HAGH
X19270.26	YARS1
X19271.64	GNAI1
X19272.9	PEF1
X19273.3	GSR
X19274.80	SNTA1
X19275.68	IDH3G
X19276.124	SNRPG
X19277.4	TSTD1
X19278.19	RAB1B
X19279.42	RBP1
X19280.29	UBE2D3
X19281.86	MAFG
X19282.3	RAB13
X19286.30	MYL5
X19287.59	DENR
X19289.29	UROD
X19290.5	HPRT1
X19291.2	CASQ2
X19293.6	VPS26A
X19294.26	CRIPT
X19295.32	PPP1CC
X19297.4	G6PD
X19302.7	GIMAP6
X19303.64	PET117
X19311.15	CRYGS
X19316.2	HSCB
X19317.114	ACP3
X19323.1	EBAG9
X19325.21	ABHD14B
X19328.51	CHEK2
X19329.31	HIPK3
X19331.18	BAIAP2
X19332.1	MOB4
X19333.4	HNRNPK
X19334.62	TXNDC12
X19335.2	JPT1
X19338.3	LZIC
X19347.37	CA12
X19353.25	OSTM1
X19356.20	TOM1L2
X19357.11	VAMP7
X19360.22	LRRTM1
X19361.78	MATN3
X19364.163	PCNA
X19365.11	BCAT2
X19367.34	ECI1
X19369.17	KAT2A
X19370.30	HS3ST4
X19371.18	MAPRE1
X19372.7	MDGA2
X19373.3	MYL12A
X19374.72	MTCP1
X19376.74	NNMT
X19377.14	OLFM2
X19379.154	RAB3D
X19381.7	RGS21
X19383.131	CINP
X19388.2	CDH12
X19392.6	DDAH1
X19437.61	VEGFA
X19438.68	SYF2
X19446.1	GMPR2
X19448.104	UPP1
X19467.3	RBKS
X19483.16	KDSR
X19488.1	PDCD6
X19491.11	HSD17B8
X19492.5	KAAG1
X19496.1	NPL
X19503.2	SNX3
X19504.22	DTYMK
X19506.6	GLYAT
X19511.8	DCUN1D2
X19516.10	HMGA2
X19523.215	PARK7
X19553.14	STX1A
X19555.1	SUMO2
X19556.12	CR1
X19557.3	KLB
X19558.10	LRP4
X19560.23	PLXNA4
X19561.216	PLXND1
X19562.8	USP28
X19563.3	SEZ6L
X19564.61	IRF4
X19567.1	EGFR
X19568.17	IL15
X19570.12	FGF8
X19572.10	CEBPG
X19574.5	ITGA2B|ITGB3
X19575.4	EPOR
X19578.19	DOK2
X19579.5	DEFA1
X19581.15	IGFBP5
X19584.33	FGF9
X19586.89	RAB3C
X19587.12	KPNA1
X19590.46	SFTPD
X19596.18	BRF1
X19601.15	ASB9
X19602.36	JUND
X19606.28	IHH
X19612.3	CD81
X19613.16	RDH10
X19614.8	TCN1
X19615.213	NT5C3A
X19616.100	EFHD1
X19617.5	PTGR1
X19620.16	DLG2
X19622.7	INHBA
X19623.26	RPSA
X19630.2	SNCG
X19631.13	KNG1
X19635.69	FGL2
X19636.23	HLA-G
X19637.9	CRH
X19638.9	PDYN
X19640.2	PTH
X19742.3	SEPTIN5
X19743.12	VSTM1
X19748.3	MVD
X19752.197	METAP1D
X19755.38	ATP5IF1
X19760.26	CPA1
X19765.17	CLEC4G
X19767.20	CCNE1
X19768.13	CSTB
X19774.8	HBG2
X19784.16	LY6D
X19786.26	MEP1A
X19787.14	MERTK
X19794.10	NUDT14
X19797.4	KAT2A
X19802.22	EBAG9
X19808.26	RAB3D
X19809.47	POLR2I
X19821.10	PGLYRP4
X19823.75	SIRT1
X20054.28	ACO1
X20055.40	ALDH1A2
X20056.7	FZD10
X20057.177	ASF1B
X20064.24	FN1
X20066.19	FZD5
X20067.26	HABP2
X20068.61	GAGE12F
X20069.23	GLYATL2
X20073.22	KRAS
X20074.3	LAMA3
X20075.130	MAGEA4
X20076.7	MNDA
X20078.6	MYL6B
X20079.6	PCK2
X20081.14	PIM2
X20083.1	RAB6A
X20086.5	RAB11B
X20087.3	SELENOF
X20089.172	SULT1C4
X20090.63	UBE2E3
X20091.138	EFNA1
X20093.9	VCAM1
X20103.176	OGG1
X20105.7	MYL6
X20106.80	DCPS
X20107.11	MYL4
X20110.25	JPT2
X20111.5	BASP1
X20116.30	OXSR1
X20117.5	EIF4EBP2
X20120.101	AMIGO1
X20126.19	GFAP
X20127.102	HEPH
X20128.1	CREB1
X20130.144	CSNK1G1
X20133.1	MAGEA3
X20134.27	MARCO
X20137.49	HNRNPA1
X20139.57	SH3GL2
X20141.42	TCEA2
X20142.42	UBE2C
X20159.1	NRN1L
X20161.41	NCAM1
X20165.4	DPYS
X20167.6	RAB8B
X20173.39	CAPN9
X20175.17	COL9A3
X20181.17	ITGA11
X20183.48	MEOX1
X20185.44	DLAT
X20187.10	ITGAV|ITGB3
X20189.28	ITGAV|ITGB6
X20189.4	ITGAV|ITGB6
X20191.13	ITGAV|ITGB8
X20195.13	IFIH1
X20197.14	VSNL1
X20203.45	C1S
X20205.55	DYRK2
X20211.75	GBP5
X20213.82	HSPA6
X20215.45	ITGAV|ITGB1
X20217.26	LMNB2
X20219.25	MME
X20221.26	PDE4C
X20225.119	STAT5A
X20229.67	TM2D1
X20231.23	UPP2
X20237.38	OAT
X20241.9	SNAP23
X20243.26	PFN1
X20245.13	RXRA
X20247.17	DPYSL4
X20367.6	IL4I1
X20370.6	ACYP1
X20373.141	GID8
X20374.41	COQ9
X20376.64	TATDN1
X20378.110	LZTFL1
X20379.59	SVBP
X20380.50	LSM12
X20381.21	PIH1D2
X20382.8	MOSPD1
X20383.31	RBM18
X20385.21	CPTP
X20386.15	PTRHD1
X20387.277	CHCHD7
X20388.8	TSR2
X20389.36	IMMP2L
X20390.4	HMGN3
X20393.10	PDE6H
X20396.70	COMMD6
X20398.60	POP7
X20399.7	OXLD1
X20401.19	BUD31
X20402.11	TRAPPC2
X20408.11	TOMM20
X20411.52	TTC33
X20423.40	CIB1
X20425.12	HHEX
X20426.34	LRATD1
X20427.18	MED20
X20428.5	PHOSPHO1
X20430.8	NPPC
X20432.6	PGPEP1
X20433.19	MRPL1
X20434.23	PCP4L1
X20435.41	EMC2
X20437.9	DNALI1
X20439.14	PLPBP
X20440.36	TTC32
X20441.35	POLR2E
X20442.12	RCAN3
X20443.37	TEN1
X20444.12	TPPP3
X20445.29	AP1AR
X20447.11	TGIF2LY
X20448.7	POLR2F
X20449.72	JOSD1
X20451.126	IFT22
X20453.9	NSMCE1
X20454.24	NABP1
X20457.13	COA4
X20458.22	NDUFA2
X20460.22	IFT20
X20461.58	FAM50A
X20463.315	IMPACT
X20464.7	KHDC1L
X20511.3	F11R
X20512.2	MCAM
X20514.8	BAMBI
X20516.11	SCN3B
X20517.1	DSG2
X20519.7	CD6
X20520.14	FAM3C
X20521.83	CD28
X20522.2	IL1RAPL1
X20524.38	NRG3
X20525.200	PDIA4
X20526.3	RAET1L
X20527.47	SEMA5B
X20528.23	CD68
X20530.2	SEMA6D
X20531.5	SLAMF9
X20533.39	IL12A|EBI3
X20534.6	SCARB1
X20535.68	IL17RE
X20536.11	ESAM
X20538.71	SIGLEC11
X20539.4	DEFA3
X20540.65	SEMA4G
X20541.73	CD1B
X20542.47	CALCR
X20543.19	DEFB127
X20544.103	GRIK2
X20545.17	MFAP3
X20546.71	RTN4RL1
X20547.5	CHRNB3
X20549.1	IZUMO4
X20550.38	NTM
X20553.2	PIK3IP1
X20557.19	VSIG8
X20558.4	EPHA8
X20561.15	CNTN6
X20562.78	KLRB1
X20563.48	TLR10
X20564.53	THY1
X20568.3	FREM1
X20570.18	VSTM1
X20572.6	MERTK
X20574.8	CD81
X20575.82	CLEC9A
X20576.71	FZD7
X20577.5	FZD8
X20578.10	ADGRL3
X20579.50	MAG
X20584.4	NECTIN1
X20585.5	CD300LG
X20585.9	CD300LG
X20586.18	CNTN3
X20589.5	CDH4
X20590.13	NPY
X20591.48	GLDN
X20592.8	LXN
X20593.10	B3GALT5
X20912.10	PUDP
X20913.27	EIF1
X20915.68	NECAP2
X20918.28	SNRPC
X20921.1	GIPC2
X20922.4	PFN4
X20923.10	MDP1
X20924.85	TCEAL1
X20926.31	ATF1
X20927.43	GTF2F2
X20928.39	TCEAL7
X20929.4	CTDSPL
X20931.156	AUH
X20932.10	CCDC69
X20934.13	RAB24
X20935.4	PDCL3
X20936.8	TATDN3
X20937.43	EMG1
X20939.113	NHP2
X20941.7	UBL3
X20942.4	DNAJB8
X20943.14	NAA50
X20946.41	GTSF1
X20947.50	DR1
X20948.16	NUDT16
X20950.159	PRTFDC1
X20952.15	ECHDC1
X20953.34	MMACHC
X20954.27	RTL6
X20955.20	ADAT2
X20956.13	PFDN4
X20957.57	NUDT10
X20958.13	RAB23
X20959.12	DUSP18
X20960.47	FUBP1
X20964.13	RPS14
X20965.18	MAP1LC3B2
X20966.7	SENP8
X20967.137	PSMG4
X20968.22	EXOSC5
X20969.114	RYBP
X20970.14	DBNDD1
X20971.1	MSRB1
X20972.37	NUDT21
X20975.2	RCAN2
X20976.19	LSM3
X20977.2	PDCL
X20979.86	GTF2B
X20982.29	SNRNP25
X20984.142	DUSP19
X20986.58	EGLN3
X20987.21	SIX6
X20988.63	RP9
X20990.48	TEF
X20991.2	LIMD2
X20993.13	BEND6
X20994.37	PLEKHF2
X20995.47	POLR2C
X20996.107	SDHAF1
X20998.19	NMRK2
X20999.12	RPL5
X21001.393	BRK1
X21002.1	NUDCD2
X21008.113	MAGOH
X21009.28	SNTN
X21104.37	UBL5
X21105.23	UNC119B
X21106.206	CETN1
X21107.5	NDUFAF1
X21108.5	CPPED1
X21109.1	CFAP36
X21110.5	UBE2Z
X21111.49	HSPBP1
X21112.6	MYLPF
X21113.3	TIFA
X21114.18	DNAJC12
X21115.48	BCDIN3D
X21116.13	EED
X21117.18	ZC4H2
X21118.48	GCHFR
X21119.1	CBR4
X21120.3	NDUFAF2
X21121.31	UBA3
X21122.3	DBNDD2
X21123.1	MRPL28
X21124.17	YAE1
X21128.2	CDK2
X21129.95	MAD2L1BP
X21130.82	ITPK1
X21131.109	TYW5
X21132.9	SYT13
X21133.33	CMC4
X21134.9	CREBZF
X21135.16	SF3B6
X21136.1	PSMG2
X21138.2	NPM2
X21140.19	CAMLG
X21141.9	LRATD2
X21143.10	CAPS
X21144.160	SGK1
X21146.187	TULP1
X21147.9	FN3K
X21149.27	CUEDC1
X21152.25	EYA2
X21153.5	BAP18
X21154.8	CAB39L
X21156.5	CHAC2
X21157.6	HYKK
X21160.4	CHMP6
X21161.16	MRM2
X21162.30	TBCEL
X21163.21	TBC1D13
X21164.83	TGIF2LX
X21166.1	CTDSP1
X21167.33	PTPMT1
X21172.11	TLNRD1
X21173.25	ELAVL2
X21178.8	CIAO1
X21180.16	PLCXD3
X21181.10	LRP2BP
X21182.8	TSEN15
X21183.1	DUSP10
X21184.1	BLOC1S2
X21188.38	RWDD4
X21189.9	NUBP1
X21190.4	UBE2W
X21191.24	DUSP21
X21193.1	TFB2M
X21194.39	POU6F1
X21196.29	SAMSN1
X21203.14	MRFAP1L1
X21204.70	DESI1
X21206.218	HAX1
X21207.1	COASY
X21208.163	CEBPE
X21210.33	POLB
X21217.20	PHB2
X21219.7	RPAIN
X21220.11	SAR1B
X21221.67	SERPINB9
X21227.18	SULT1A1
X21229.5	TMIGD2
X21231.3	CHRNA5
X21232.39	KLK3
X21234.7	ASB13
X21235.11	KPNA5
X21236.12	TMED9
X21237.24	PADI4
X21238.40	CDK5RAP3
X21239.31	CYTH1
X21240.6	AMT
X21241.1	NAA80
X21244.57	NPM1
X21247.16	MAT1A
X21249.115	DFFA
X21255.2	RGS16
X21260.74	SNRPE
X21269.198	EPHX2
X21271.53	AKR1C2
X21272.100	RTRAF
X21276.11	PROM1
X21280.13	TSC22D3
X21281.13	CAMK2N2
X21282.21	TNIP1
X21286.29	RPL11
X21289.36	SPAG7
X21290.66	HUS1
X21306.7	HAUS1
X21308.44	DHRS4
X21310.37	MRTO4
X21311.22	JDP2
X21314.11	UBA5
X21317.25	NKIRAS1
X21319.196	MRM1
X21321.2	SNRPA1
X21322.60	GTF2E2
X21323.2	RWDD1
X21326.28	TBCC
X21327.12	CYREN
X21328.2	SYT1
X21329.66	PHOSPHO2
X21330.13	YARS2
X21331.19	BCL7A
X21338.44	SIL1
X21339.19	GPT2
X21340.38	HLF
X21341.19	CHMP4A
X21342.25	RGS14
X21343.3	ARC
X21344.31	TFB1M
X21345.93	RDH12
X21346.71	DHODH
X21348.22	TRPT1
X21349.2	STYX
X21350.29	LIN28B
X21351.8	GARS1
X21354.92	UPRT
X21355.4	USF1
X21356.6	B9D2
X21357.12	FBLIM1
X21359.17	NREP
X21360.27	SPECC1
X21361.8	TXNRD3NB
X21365.5	CYTH3
X21366.7	MSI2
X21367.63	NRBF2
X21368.46	POLR3K
X21369.15	RTCA
X21370.45	SKA1
X21371.12	RIOX2
X21373.8	QTRT2
X21375.34	RAB3IL1
X21378.7	PNPT1
X21379.30	ETNK2
X21380.77	QTRT1
X21381.73	TBC1D22B
X21382.70	ELAC1
X21383.37	NARS1
X21384.2	FUCA1
X21385.5	SLITRK2
X21387.64	MEP1A
X21389.32	STK3
X21390.68	DCT
X21391.17	CGB3
X21392.15	MAGED1
X21393.62	AHCY
X21395.23	PCDH17
X21397.21	PRTG
X21403.39	TSC2
X21406.25	MAP3K11
X21429.50	THOP1
X21430.4	PLA2G4A
X21433.3	BTN3A2
X21435.143	SRPK2
X21436.56	ATG4A
X21437.77	MGMT
X21438.45	TRIM5
X21439.37	HCLS1
X21440.9	ADAM8
X21441.20	TYRP1
X21450.333	CASP10
X21452.3	DNM1L
X21457.141	COQ10A
X21475.137	TXNL1
X21476.43	NEIL2
X21477.105	MAEA
X21478.20	SMAD5
X21480.2	CD82
X21483.155	PRKAR1A
X21487.20	BLOC1S6
X21491.7	AOC3
X21492.19	CLUL1
X21495.134	GPR37
X21497.32	HYOU1
X21498.3	ALDH7A1
X21499.17	COQ7
X21503.12	TSHR
X21504.41	AGO2
X21507.48	COMMD8
X21508.7	ST8SIA1
X21509.29	GLT8D2
X21510.24	GRK5
X21512.6	EDEM2
X21513.1	CASP7
X21514.1	GP1BB
X21515.61	AACS
X21521.17	TPH1
X21523.71	ILKAP
X21524.14	USP5
X21526.88	IZUMO1
X21528.12	BMF
X21529.6	UBASH3A
X21533.51	LSP1
X21536.65	CPLX3
X21537.33	SCLY
X21539.139	SYT6
X21540.73	BIN2
X21544.4	ATL3
X21545.51	MUSTN1
X21546.20	ADGRD1
X21547.6	FAM20C
X21548.20	GGT5
X21549.144	TECTB
X21552.9	ACOX1
X21555.17	FAM3A
X21562.3	SCGB1D1
X21563.3	PLA2G12A
X21567.214	C1QTNF4
X21569.49	STK10
X21572.91	XYLT2
X21577.35	FKBP5
X21579.35	MYBPC3
X21583.14	RPL26L1
X21588.4	KCTD4
X21589.80	DPPA4
X21590.9	ANKRA2
X21592.8	GBA3
X21595.8	CCDC43
X21599.6	CTH
X21600.10	CTNNBIP1
X21604.2	CUTA
X21614.2	GEMIN6
X21624.64	NKIRAS2
X21628.6	EEF1E1
X21636.63	NCBP2
X21638.5	PPIL3
X21643.8	RPS20
X21645.6	SNIP1
X21647.9	SRM
X21649.12	STX17
X21651.9	TXNL4A
X21653.205	URM1
X21655.18	CEP20
X21658.15	PHB2
X21660.4	SAR1B
X21661.82	FAM20C
X21662.121	DYRK3
X21663.149	ST8SIA1
X21664.6	MACROH2A1
X21667.57	PDE1B
X21670.52	WWP2
X21674.132	BTN1A1
X21676.17	SERPINB2
X21679.16	CDH20
X21681.10	ADAM28
X21685.29	DCC
X21687.3	ELFN2
X21688.50	ITGA4|ITGB1
X21690.31	LRRC4
X21691.27	LRFN3
X21692.12	CD8A|CD8B
X21696.80	LRFN4
X21697.57	ADGRF2
X21698.11	ITGA11|ITGB1
X21705.33	METRNL
X21706.29	LILRA1
X21707.15	C1QL3
X21708.149	FCGRT
X21710.16	NLGN4Y
X21711.86	ADGRB1
X21713.11	RELN
X21715.40	SENP1
X21716.29	FUT7
X21717.44	UBE2Q2
X21718.150	HYAL4
X21720.13	FUT11
X21721.6	CHST10
X21722.21	GALNT4
X21724.22	GALNS
X21726.73	ST6GALNAC4
X21727.15	UBE2Q1
X21728.4	USP2
X21730.56	USP19
X21732.78	UBE2Q1
X21733.11	OGT
X21734.36	C1GALT1|C1GALT1C1
X21736.60	HS2ST1
X21737.20	ST6GAL2
X21739.7	GNE
X21740.26	USP1
X21742.43	OTUD7B
X21743.1	WDR48
X21746.13	USP10
X21747.114	UBE2N|UBE2V1
X21747.8	UBE2N|UBE2V1
X21748.36	USP46|WDR48
X21750.25	BAP1
X21752.10	RHOT1
X21754.5	ZRANB1
X21755.27	USP12
X21756.5	UBE2N|UBE2V2
X21757.49	USP22
X21758.65	SENP2
X21759.23	USP1|WDR48
X21760.22	UBA1
X21761.213	USP46
X21762.32	USP11
X21763.46	USP4
X21764.99	USP30
X21765.10	CYLD
X21766.50	SGSH
X21767.129	GALNT14
X21768.9	MGAT5
X21769.10	XYLB
X21770.18	B3GAT1
X21771.47	MGAT3
X21780.15	ABHD4
X21781.9	ACY3
X21786.25	CDKL2
X21793.4	CEP43
X21796.43	GPX3
X21797.4	HLA-C
X21799.15	HOMER3
X21810.50	MLANA
X21811.20	ZCCHC17
X21813.171	MGAT5
X21814.13	MMADHC
X21815.7	MOB3B
X21817.5	MYL9
X21819.9	NELFE
X2182.54	C4A|C4B
X21821.9	PPIAL4D
X21823.5	PPM1G
X21827.7	RHOQ
X21829.8	RPS12
X21832.31	SERPINB3
X21833.6	SIRT6
X21834.8	SNF8
X21836.9	SSTR1
X21837.3	SSR2
X21839.3	POU2AF1
X21849.2	UBQLN3
X21853.3	CLEC1A
X21856.59	KHK
X21857.26	RACK1
X21858.25	SIAH1
X21861.8	PSMB10
X21862.145	LASP1
X21863.11	NUBP2
X21875.31	ZFAND3
X21876.266	PICK1
X21883.17	BMP5
X21885.196	TIA1
X21887.2	CBLN2
X21889.2	GGCT
X21891.31	FBLN7
X21895.36	IFNL4
X21897.4	IL17A|IL17F
X21899.36	INHA|INHBA
X2190.55	F11
X21901.14	ITGA3|ITGB1
X21903.6	ITGAL|ITGB2
X21905.10	ITGA2|ITGB1
X21909.10	ITGA5|ITGB1
X21909.2	ITGA5|ITGB1
X21911.17	NDP
X21913.5	YY2
X21915.2	OTUD3
X21916.82	OTULIN
X2192.63	CCL27
X21923.24	SAE1|UBA2
X21925.15	TGFB1
X21926.24	UBE2D1|UBB
X21929.53	UBE2D3|UBB
X21931.16	UBE2L3|UBB
X21931.27	UBE2L3|UBB
X21933.7	UBA7
X21935.16	UBE2H
X21939.6	NAE1|UBA3
X21940.12	WNT10B
X21942.14	WNT16
X21943.170	WNT16
X21945.4	WNT5B
X21946.79	IL6|IL6R
X21949.4	APBB1IP
X21951.32	ARNT
X21955.36	BAG6
X21957.12	PIK3AP1
X21958.4	ABR
X21961.14	CD2AP
X21963.48	DAB2
X21967.20	HSD11B1
X21969.5	DPP6
X21971.47	FLI1
X21976.4	IKBKG
X21979.12	ITGA6
X21979.8	ITGA6
X21981.2	ITGAM
X21985.61	ITGB1BP2
X21987.76	LPL
X21989.12	MAP4K5
X21991.79	PPP1R9B
X21995.20	NOS3
X21996.28	NUB1
X21999.61	NUCB2
X22001.23	PADI2
X22003.4	PON2
X22005.8	PDP1
X22007.1	RETNLB
X22009.1	PPM1B
X2201.17	COL18A1
X22010.36	PRKRA
X22013.6	RASSF2
X22015.2	TRIM21
X22019.21	SH2B3
X22023.3	AADAT
X22027.13	TACC3
X22033.32	WAS
X22033.7	WAS
X22034.61	ZBTB16
X22037.47	EFHD2
X22041.26	MAP2K5
X22043.174	HSPA2
X22045.8	SUMO4
X22047.46	COL5A1
X22049.24	YWHAH
X22050.19	KXD1
X22055.31	FOXO1
X22057.9	ALDH1B1
X22059.56	PALMD
X22063.20	CAPNS2
X22065.32	IRF8
X22068.5	PPP2R5D
X22070.5	ARHGEF16
X22071.38	ASB8
X22073.47	ATP5PB
X22074.35	RBFOX1
X22075.16	ATF3
X22076.34	ATOH1
X22077.46	ATP23
X22078.4	TAT
X22082.25	BEX2
X22083.60	BEX5
X22085.86	BMI1
X22086.2	BRMS1L
X22088.3	BTG1
X22089.13	BTG4
X22091.14	UPB1
X22092.43	CASP4
X22094.15	C2orf73
X22095.29	CBX2
X22098.10	CCNYL1
X22099.1	C4orf36
X22103.25	CDK20
X22104.39	CDX1
X2211.9	TIMP1
X22112.30	COQ5
X22113.2	COQ6
X22114.4	LAS2
X22115.2	CREBL2
X22116.9	CREM
X22118.7	CSAG2
X22119.18	COPS8
X2212.69	PLAT
X22120.4	DCAF11
X22121.43	DCAF12
X22123.15	DLX2
X22124.94	DYTN
X22125.9	E2F5
X22128.8	ELK4
X22129.55	ELL3
X22134.1	ETV4
X22136.9	EXOG
X22137.3	FAM102B
X22140.6	FAM204A
X22141.59	PFKFB1
X22142.4	FAM86B1
X22143.6	FBXO28
X22144.65	FBXO48
X22146.20	FOSL2
X22147.19	FOXO4
X22148.135	FOXP3
X22149.2	FUNDC1
X22150.2	GABPB1
X22151.48	GSC2
X22152.162	GALNT9
X22154.37	GATAD1
X22155.44	GEMIN7
X22363.31	ADAT1
X22365.52	ATF5
X22367.17	C11orf49
X22369.12	DMRTC2
X22371.46	FAM110A
X22374.56	HEY1
X22375.15	HOXA11
X22376.95	HOXA5
X22377.27	IER2
X22378.2	KRT34
X22381.1	LACTB2
X22383.21	MITF
X22385.2	PWWP3A
X22386.11	OTX1
X22387.26	PITX3
X22391.34	SAP30L
X22392.5	SERTAD3
X22393.130	CCDC59
X22394.8	TCF21
X22395.7	ZFP36
X22397.2	XBP1
X22398.5	ANP32C
X22401.26	GUCA1B
X22402.12	H2AC1
X22403.13	H2BC12
X22404.4	IP6K1
X22405.61	PCK2
X22414.127	TLK1
X22417.10	CBLC
X22421.79	PELI1
X22429.13	KDM1A
X22430.15	CHN1
X22431.164	SRFBP1
X22432.83	SRPK1
X22445.2	CABP5
X22465.43	HES1
X22466.27	HES5
X22467.94	HHLA3
X22468.54	H2AC11
X22469.103	HMX2
X2247.20	PROK1
X22476.115	HOXD4
X22479.64	IP6K2
X22481.15	IQCD
X22483.109	KRT71
X22484.17	CSNK1A1L
X22485.1	KCTD7
X22486.58	KRT6A
X22488.17	KLF9
X22490.16	LCNL1
X22491.10	LDB2
X22492.108	LMO3
X22496.21	LYRM1
X22499.15	MED28
X22500.9	MED11
X22503.24	MKX
X22504.3	N4BP2L2
X22505.24	NADK2
X22506.25	NAA20
X22508.2	NDUFB10
X22509.9	NDUFAF5
X22510.6	NFE2L2
X22511.28	NFYA
X22512.18	NGDN
X22514.12	NKD2
X22516.30	NRL
X22517.106	NSMCE2
X22521.13	OTX2
X22523.4	PABPC5
X22525.9	PAX3
X22526.81	PDHB
X22527.4	PDLIM3
X22528.1	PHF11
X22529.31	PHF6
X22530.111	PHYHD1
X22531.44	PITX2
X22533.95	PPP1R10
X22534.14	PPP4C
X22536.1	PPP1R42
X22540.129	PSMB7
X22541.46	GINS1
X22544.10	RAD51C
X22545.20	RALYL
X22547.17	RBMS1
X22548.18	RGS13
X22553.4	RPL38
X22554.101	MRPL10
X22561.3	LYPD8
X22563.4	KIRREL1
X22564.5	LDLRAD3
X22568.7	DSG4
X22569.55	TGFBR1
X22572.19	PGA4
X22576.1	CD209
X22576.2	CD209
X22578.17	ROBO2
X22579.93	NRXN1
X22580.29	EFNA2
X22583.47	ULBP2
X22584.2	LRP6
X22585.5	FZD4
X22586.24	BTN2A2
X22587.37	EPHA6
X22588.35	ADGRB2
X22589.3	FZD2
X22590.68	FZD1
X22591.4	FZD9
X22770.22	SLC25A38
X22771.6	SAMD12
X22772.125	SAMM50
X22773.69	SDHB
X22774.20	TSEN34
X22777.46	SKP2
X22779.75	SMCO1
X2278.61	TIMP2
X22782.80	SPC25
X22783.40	SPI1
X22784.4	SPATA22
X22786.57	SPATA46
X22787.39	SPANXN3
X22788.10	SULT6B1
X22792.21	WARS2
X22793.110	GTF2A2
X22795.17	TADA2A
X22796.17	TADA1
X22797.20	TAF12
X22799.17	TBC1D28
X22800.24	TCAP
X22801.83	TERB2
X22802.13	TEX30
X22805.18	THAP11
X22806.1	THAP2
X22808.59	THRB
X22809.32	TIMM23
X22810.41	TIPIN
X22811.5	TMA16
X22812.4	TRAPPC6B
X22813.5	FLJ44635
X22814.1	TRIM27
X22815.4	TRIM40
X22816.4	TRIM54
X22817.126	TRIM9
X22821.50	UNG
X22824.53	ATP6V1C2
X22826.2	VHLL
X22831.11	ZBP1
X22832.9	ZC3H8
X22833.74	ZCCHC18
X22834.21	ZDHHC4
X22838.39	ZNF230
X22839.23	ZNF263
X22841.16	ZNF696
X22842.85	ZNF69
X22844.4	ZSWIM7
X22845.3	MRPS14
X22847.18	STK4
X22857.5	KCTD7
X22858.3	MAPK6
X22862.44	PPM1M
X22946.55	SNTA1
X22948.13	BMP3
X22950.6	BTN3A3
X22952.28	CDK2AP2
X22953.85	CEBPB
X22954.10	CLIC2
X22955.28	RBP1
X22958.6	DSTN
X22959.32	DKK4
X22960.8	FCGR2B
X22961.7	FCN1
X22963.3	VAMP2
X22966.20	GABARAP
X22967.15	GDF7
X22968.9	GAGE2D
X22969.12	CCL7
X22970.8	GIPC1
X22972.26	CXCL2
X22973.8	CXCL3
X22974.25	H2BC21
X22977.18	HEXIM1
X22978.13	HMGB2
X22981.3	HPCAL1
X22984.10	EIF4A2
X22985.160	IGFBP2
X22987.69	MAPK9
X22989.24	LIN7A
X22990.20	LIN7B
X22991.9	MAGEA6
X22992.6	MAPRE3
X23000.22	NLGN1
X23002.27	NXPH1
X23006.19	PIP4K2B
X23007.8	JUP
X23008.4	RAB2A
X23016.24	TAF15
X23017.17	RCN3
X23018.4	REG1B
X23020.18	RGS4
X23022.5	GDI1
X23023.21	S100A14
X23024.25	SAR1A
X23028.49	SDCBP2
X23029.3	SH3GL3
X23030.4	SIGLEC5
X23031.6	SIRT2
X23034.13	SORCS3
X23037.37	UBE2D3
X23038.63	UNC5B
X23039.56	MEOX2
X23148.100	LIPG
