SomaID	type	EntrezGeneID	EntrezGeneSymbol	TSS	CHR
X9173.21	cis	5236	PGM1	63593411	1
X9175.48	cis	1826	DSCAM	40010999	21
X9177.6	cis	54097	FAM3B	41304212	21
X9178.30	cis	3084	NRG1	31639222	8
X9183.7	cis	3454	IFNAR1	33324387	21
X9185.15	cis	7031	TFF1	42362282	21
X9188.119	cis	4283	CXCL9	76001275	4
X9197.4	cis	3965	LGALS9	27629798	17
X9204.33	cis	5443	POMC	25160853	2
X9212.22	cis	8722	CTSF	66563464	11
X9216.100	cis	23654	PLXNB2	50274979	22
X9218.7	cis	355	FAS	88953813	10
X9223.11	cis	7873	MANF	51385291	3
X9224.20	cis	5618	PRLR	35048756	5
X9231.23	cis	54928	BPNT2	56957931	8
X9235.3	cis	57125	PLXDC1	39063313	17
X9244.27	cis	5538	PPT1	40072710	1
X9249.17	cis	252839	TMEM9	201134772	1
X9251.28	cis	23324	MAN2B2	6575189	4
X9253.52	cis	28	ACE	133250401	9
X9254.18	cis	2205	FCER1A	159289714	1
X9264.11	cis	1519	CTSO	155921580	4
X9265.10	cis	11010	GLIPR1	75480753	12
X9266.1	cis	54210	TREM1	41267926	6
X9269.7	cis	686	BTD	15601341	3
X9275.2	cis	8778	SIGLEC5	51610960	19
X9279.7	cis	152404	IGSF11	118900557	3
X9282.12	cis	7180	CRISP2	49692358	6
X9284.25	cis	6424	SFRP4	37905932	7
X9288.7	cis	51661	FKBP7	178463664	2
X9294.45	cis	4237	MFAP2	16974502	1
X9297.12	cis	374907	B3GNT8	41425359	19
X9303.9	cis	23308	ICOSLG	44215382	21
X9312.8	cis	563	AZGP1	99966720	7
X9316.67	cis	58189	WFDC1	84294846	16
X9321.400	cis	4828	NMB	84655129	15
X9326.33	cis	3698	ITIH2	7703316	10
X9337.43	cis	6863	TAC1	97732084	7
X9340.17	cis	55033	FKBP14	30010587	7
X9341.1	cis	80310	PDGFD	103907189	11
X9343.16	cis	3560	IL2RB	37118666	22
X9348.1	cis	51279	C1RL	7089587	12
X9357.4	cis	8804	CREG1	167529117	1
X9360.33	cis	10085	EDIL3	83940554	5
X9368.64	cis	57408	LRTM1	54918231	3
X9370.69	cis	8836	GGH	63014881	8
X9383.24	cis	1117	CHI3L2	111200771	1
X9385.4	cis	2548	GAA	80101533	17
X9388.18	cis	84693	MCEE	71109684	2
X9394.19	cis	10404	CPQ	96645242	8
X9409.11	cis	7177	TPSAB1	1240379	16
X9416.77	cis	1368	CPM	68842197	12
X9443.137	cis	1513	CTSK	150794880	1
X9453.12	cis	7423	VEGFB	64234584	11
X9459.7	cis	355	FAS	88953813	10
X9461.2	cis	3386	ICAM4	10286955	19
X9470.15	cis	728464	METTL24	110243940	6
X9482.110	cis	53343	NUDT9	87422573	4
X9484.75	cis	1829	DSG2	31498177	18
X9569.14	cis	51435	SCARA3	27633868	8
X9578.263	cis	100287284	MANSC4	27762427	12
X9580.5	cis	3918	LAMC2	183186238	1
X9595.11	cis	8704	B4GALT2	43978943	1
X9604.14	cis	1009	CDH11	64943753	16
X9627.15	cis	5212	VIT	36696690	2
X9713.67	cis	5157	PDGFRL	17576433	8
X9748.31	cis	2947	GSTM3	109733932	1
X9754.33	cis	4835	NQO2	2987987	6
X9793.145	cis	57722	IGDCC4	65381484	15
X9796.4	cis	1056	CEL	133061981	9
X9837.60	cis	1728	NQO1	69706996	16
X9854.36	cis	231	AKR1B1	134442356	7
X9867.23	cis	8789	FBP2	94558720	9
X9870.17	cis	7453	WARS1	100333790	14
X9883.29	cis	2739	GLO1	38675925	6
X9884.8	cis	51645	PPIL1	36854827	6
X9894.13	cis	4646	MYO6	75749201	6
X9906.21	cis	50859	SPOCK3	166733384	4
X9981.18	cis	57613	FAM234B	13044381	12
X9986.14	cis	283869	NPW	2009926	16
